date,mitte,friedrichshain_kreuzberg,pankow,charlottenburg_wilmersdorf,spandau,steglitz_zehlendorf,tempelhof_schoeneberg,neukoelln,treptow_koepenick,marzahn_hellersdorf,lichtenberg,reinickendorf,7_days_incidence
2021-11-19,218.0,91.0,187.0,242.0,167.0,1.0,130.0,123.0,165.0,55.0,52.0,215.0,366.6
2021-11-18,231.0,222.0,313.0,53.0,185.0,107.0,172.0,159.0,223.0,80.0,278.0,151.0,365.4
2021-11-17,267.0,270.0,325.0,280.0,211.0,96.0,195.0,248.0,251.0,160.0,197.0,206.0,366.1
2021-11-16,251.0,221.0,287.0,286.0,219.0,147.0,226.0,349.0,191.0,118.0,223.0,251.0,347.2
2021-11-15,415.0,239.0,272.0,123.0,112.0,234.0,361.0,274.0,219.0,74.0,314.0,225.0,329.4
2021-11-14,,59.0,,2.0,96.0,36.0,,5.0,2.0,,,87.0,325.1
2021-11-13,1.0,223.0,210.0,29.0,,90.0,1.0,3.0,,,,36.0,316.0
2021-11-12,237.0,150.0,325.0,153.0,170.0,148.0,160.0,222.0,147.0,126.0,27.0,178.0,298.3
2021-11-11,277.0,170.0,295.0,174.0,127.0,168.0,243.0,228.0,146.0,114.0,41.0,147.0,283.7
2021-11-10,274.0,250.0,325.0,239.0,137.0,170.0,304.0,254.0,192.0,211.0,208.0,167.0,252.4
2021-11-09,197.0,308.0,189.0,143.0,100.0,215.0,152.0,294.0,124.0,84.0,142.0,126.0,233.8
2021-11-08,279.0,201.0,206.0,194.0,127.0,94.0,248.0,261.0,192.0,73.0,187.0,151.0,207.4
2021-11-07,,9.0,,,64.0,5.0,1.0,13.0,,,,37.0,207.0
2021-11-06,3.0,55.0,108.0,41.0,,31.0,1.0,1.0,7.0,,,13.0,207.4
2021-11-05,153.0,77.0,119.0,97.0,114.0,97.0,151.0,96.0,66.0,166.0,107.0,150.0,196.0
2021-11-04,186.0,140.0,186.0,140.0,115.0,100.0,106.0,165.0,105.0,70.0,117.0,164.0,180.5
2021-11-03,149.0,160.0,134.0,109.0,139.0,102.0,141.0,170.0,120.0,138.0,117.0,105.0,170.3
2021-11-02,161.0,97.0,170.0,98.0,71.0,138.0,142.0,161.0,79.0,25.0,107.0,146.0,164.8
2021-11-01,175.0,71.0,114.0,70.0,47.0,94.0,113.0,148.0,65.0,85.0,135.0,126.0,155.9
2021-10-31,5.0,9.0,,,53.0,1.0,1.0,28.0,16.0,,,3.0,153.9
2021-10-30,2.0,23.0,116.0,75.0,,1.0,3.0,33.0,11.0,,,9.0,153.7
